Sentence,Sign Language
ඇය ගෙදරට මල් මිලදී ගන්නවා.,ඇය ගෙදර මල් මිලදීගන්නවා
ඔහු පාසලේදී චිත්‍රයක් අඳිනවා.,ඔහු පාසල චිත්‍රය චිත්‍රඅදිනවා
"මම ඉක්මනින් අවදි වෙනවා, උදේ ආහාරය ගන්නවා.",මම ඉක්මනින් නැගිටිනවා උදේ කෑම
"ඇය පාසලට පයින් ගියත්, ගෙදර යන්නේ පයින්.",ඇය පාසල පයින්යනවා ගෙදර පයින්යනවා
"ඔහු කෝපි බොනවා, ප්‍රවෘත්ති කියවනවා.",ඔහු කෝපි බොනවා ප්‍රවෘත්ති පොත්බලනවා
"බල්ලා හයියෙන් බුරනවා, නමුත් මිත්‍රශීලීයි.",බල්ලා හයියෙන් බුරනවා නමුත් හොද
"අපි චිත්‍රපට නරඹනවා, පොප්කෝන් කනවා.",අපි චිත්‍රපට බලනවා පොප්කෝන් කනවා
"ඔවුන් පාපන්දු ක්‍රීඩා කරනවා, නමුත් පසුව විවේක ගන්නවා.",ඔවුන් පාපන්දු සෙල්ලම්කරනවා නමුත් පස්සේ විවේක
"මම දත් මදිනවා, මුහුණත් සෝදනවා.",මම දත්මදිනවා මුහුණ මුහුණසෝදනවා
"අපි නිවස පිරිසිදු කර, පසුව විවේක ගන්නෙමු.",අපි නිවස පිරිසිදුකරනවා පස්සේ විවේක
"අපි සිල්ලර බඩු කඩේ යනවා, අපි රාත්‍රී ආහාරය උයනවා.",අපි කඩය යනවා අපි රෑ කෑම උයනවා.
"ඇය එළවළු මිලදී ගන්නවා, ඇය සුප් හදනවා.",ඇය එළවලු මිලදීගන්නවා ඇය සුප් උයනවා
"මම අවදි වූ විට, මම මගේ ඇඳ සකස් කරමි.",මම නැගිටිනවා මම මගේ ඇඳ
"ඇය වෙහෙසට පත්ව සිටින නිසා, ඇය ඉක්මනින් විවේක ගනී.",ඇය මහන්සි ඇය ඉක්මන් විවේක
"ඔහු වෙහෙස මහන්සි වී ඉගෙන ගන්නේ නම්, ඔහු විභාගය සමත් වේ.",ඔහු මහන්සි ඉගෙනගන්නවා ඔහු විභාග සමත්වෙනවා
"අපි රාත්‍රී ආහාරය ගන්නා අතරතුර, අපි පාසල ගැන කතා කරමු.",අපි රෑ කෑම අතරතුර අපි පාසල කතාකරනවා
"ඔවුන් පාපන්දු ක්‍රීඩා කරන නිසා, ඔවුන් සෞඛ්‍ය සම්පන්නයි .",ඔවුන් පාපන්දු සෙල්ලම්කරනවා ඔවුන් නිරෝගී
"ඇය දිනපතා කියවන නිසා, ඇය බොහෝ දේ ඉගෙන ගනී.",ඇය හැමදාම පොත්බලනවා ඇය ගොඩාක් ඉගෙනගන්නවා
"ඔහු කාර්යබහුල වුවද, ඔහු ලිපි ලියයි.",ඔහු කාර්යබහුල නමුත් ඔහු ලිපිය ලි‍යනවා
"අපි සතිපතා පිරිසිදු කරන නිසා, නිවස පිළිවෙලට තිබේ.",අපි සතිපතා පිරිසිදුකරනවා නිවස ලස්සන
"ඔවුන් නිතර පැමිණියහොත්, ඔවුන් තෑගි ගෙන එයි.",ඔවුන් එනවා ඔවුන් තෑගි ගෙනෙනවා
"මම ජැකට් එකක් ඇඳගෙන ඉන්නකොට, මම උණුසුම්ව ඉන්නවා.",මම ජැකට් ඉන්නවා මම ‍රස්නේ ඉන්නවා
"ඇය පාන් මිලදී ගන්නා නිසා, අපි සැන්ඩ්විච් කනවා.","ඇය පාන් මිලදී ගන්නා නිසා, අපි සැන්ඩ්විච් කනවා."
"ඔහු වේගයෙන් ගමන් කළත්, ඔහු ප්‍රවේශම් සහගතයි.",ඔහු වේගවත් යනවා නමුත් ඔහු පරිස්සම්
"බබා අඬනකොට, මම ඇයව නලවනවා.",බබා අඬනවා මම ඇය නලවනවා
"ඔවුන් හොඳින් චිත්‍ර අඳින නිසා, ඔවුන් ත්‍යාග දිනා ගනී.",ඔවුන් හොද චිත්‍රය චිත්‍රඅදිනවා ඔවුන් තෑගි ගන්නවා
"මම සංගීතයට සවන් දෙන අතරතුර, මට සතුටක් දැනෙනවා.",මම සින්දුව සවන්දෙනවා අතරතුර මට සතුට දැනෙනවා
"ඔවුන් ගණිතය ඉගෙන ගන්නා බැවින්, ඔවුන් ගැටළු විසඳයි.",ඔවුන් ගණන ඉගෙනගන්නවා ඔවුන් ගැටලුව විසදනවා
"ඇය චිත්‍ර අඳින අතරතුර, ඇය සංගීතයට සවන් දෙයි.",ඇය චිත්‍රය චිත්‍රඅදිනවා අතරතුර ඇය සින්දුව සවන්දෙනවා
"ඔහු ගිටාර් වාදනය කරන නිසා, ඔහුට තෑගි ලැබෙනවා",ඔහු ගිටාරය ඔහු තෑගි ගන්නවා
"අපි සාප්පු සවාරි යන විට, අපි මුලින්ම ලැයිස්තුවක් සාදන්නෙමු.",අපි කඩය යනවා කලින් අපි ලැයිස්තුව ලියනවා
"ඔහු බයිසිකල් අලුත්වැඩියා කරන නිසා, ඔහු මුදල් ඉතිරි කරයි.",ඔහු බයිසිකලය අලුත්වැඩියා ඔහු මුදල් ඉතිරිකරනවා
"ඔවුන් වනාන්තරයේ ඇවිද ගියහොත්, ඔවුන් මුවන් දකී.","ඔවුන් වනාන්තරයේ ඇවිද ගියහොත්, ඔවුන් මුවන් දකී."
"ඔහු තම කාමරය පිරිසිදු කරන නිසා, එය පිළිවෙලට පෙනේ.",ඔහු කාමරය පිරිසිදුකරනවා ඒක ලස්සන පේනවා
"මම කණ්නාඩි පළඳින නිසා, මට පැහැදිලිව පෙනෙනවා",මම ඇස්කණ්ණාඩිය මට පැහැදිලිවම පේනවා
බබා නිදාගෙන ඉන්න නිසා අපි නිහඬව ඉන්නවා.,බබා නිදියනවා ඉන්නවා අපි නිහඬ ඉන්නවා
